climatic_zone,forest_type,tree_species,density,bef,rj,C_frac_dry,b_bg_below30,a_bg_over30,b_bg_over30,a_ag_over30,b_ag_over30,typical_tree_density,forest_biomass_kg,forest_biomass_std_kg,rs_ratio,root_turnover_rate,,
Temperate,,Other,,,,0.45,0.000022700,-0.174882004 ,0.009559391 ,-0.411550464 ,0.013669801,,,,0.5,0.05,,
Boreal,Conifer,Abies,0.4,1.35,,,,,,,,,,,,,,
Boreal,Broadleaf,Acer,0.52,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Alnus,0.45,1.3,,,,,,,,,,,,,,
Boreal,Conifer,Betula,0.51,1.35,,,,,,,,,,,,,,
Boreal,Conifer,Carpinus betulus,0.63,1.35,,,,,,,,,,,,,,
Boreal,Broadleaf,Castanea sativa,0.48,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Fagus sylvatica,0.58,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Fraxinus,0.57,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Juglans,0.53,1.3,,,,,,,,,,,,,,
Boreal,Conifer,Larix decidua,0.46,1.35,,,,,,,,,,,,,,
Boreal,Conifer,Larix kaempferi,0.49,1.35,,,,,,,,,,,,,,
Boreal,Broadleaf,Populus,0.35,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Prunus,0.49,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Quercus,0.58,1.3,,,,,,,,,,,,,,
Boreal,Broadleaf,Salix,0.45,1.3,,,,,,,,,,,,,,
Boreal,Conifer,Thuja plicata,0.31,1.35,,,,,,,,,,,,,,
Boreal,Conifer,Tilia,0.43,1.35,,,,,,,,,,,,,,
Boreal,Conifer,Tsuga,0.42,1.35,,,,,,,,,,,,,,
Temperate,Conifer,Abies,0.4,1.3,,,,,,,,,,,,,,
Temperate,Broadleaf,Acer,0.52,1.4,,,,,,,,,,,,,,
Temperate,Broadleaf,Alnus,0.45,1.4,,,,,,,,,,,,,,
Temperate,Conifer,Betula,0.51,1.3,,,,,,,,,,,,,,
Temperate,Conifer,Carpinus betulus,0.63,1.3,,,,,,,,,,,,,,
Temperate,Broadleaf,Castanea sativa,0.48,1.4,,,,,,,,,,,,,,
Temperate,Broadleaf,Fagus sylvatica,0.58,1.4,,,,,,,,,,,,,,
Temperate,Broadleaf,Fraxinus,0.57,1.4,,,,,,,,,,,,,,
Temperate,Broadleaf,Juglans,0.53,1.4,,,,,,,,,,,,,,
Temperate,Conifer,Larix decidua,0.46,1.3,,,,,,,,,,,,,,
Temperate,Conifer,Larix kaempferi,0.49,1.3,,,,,,,,,,,,,,
Temperate,,Olea europaea,,,,0.45,,,,,,120,176.95225,197.8136514357,0.5,0.05,,
Temperate,Spruce-fir,Picea abies,0.4,1.3,,,,,,,,,,,,,,
Temperate,Spruce-fir,Picea sitchensis,0.4,1.3,,,,,,,,,,,,,,
Temperate,Spruce-fir,Pinus pinaster,0.44,1.3,,,,,,,,,,,,,,
Temperate,Pines,Pinus strobus,0.32,1.3,,,,,,,,,,,,,,
Temperate,Pines,Pinus sylvestris,0.42,1.3,,,,,,,,,,,,,,
NEED TO BE ADDED,,Pistacia lentiscus,,,,0.45,,,,,,,,,0.5,0.05,DOI 10.1007/S00442-012-2380-2,Root architecture and hydraulic conductance in nutrient deprived Pistacia lentiscus L. seedlings
Temperate,Broadleaf,Populus,0.35,1.4,,,,,,,,,,,,,,
Temperate,Broadleaf,Prunus,0.49,1.4,,,,,,,,,,,,,,
Temperate,Pines,Pseudotsuga menziesii,0.45,1.3,,,,,,,,,,,,,,
Temperate,Broadleaf,Quercus,0.58,1.4,,0.45,0.000022700,-0.174882004 ,0.009559391 ,-0.411550464 ,0.013669801,40,635.2072227273,591.8287005901,0.35,0.05,,
Temperate,Broadleaf,Salix,0.45,1.4,,,,,,,,,,,,,,
Temperate,Conifer,Thuja plicata,0.31,1.3,,,,,,,,,,,,,,
Temperate,Conifer,Tilia,0.43,1.3,,,,,,,,,,,,,,
Temperate,Conifer,Tsuga,0.42,1.3,,,,,,,,,,,,,,
