species,productivity,grazing_management,climate,ef_methane_kg_head,notes
Calves (less than 1year),Low Productivity,Daily Spread,Warm Temp Dry,0.3,other cattle 0.4
Pigs,Low Productivity,Daily Spread,Warm Temp Dry,1,called Swine below
Sheep,Low Productivity,Daily Spread,Warm Temp Dry,0.25,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf
Lambs (less than 1 year),Low Productivity,Daily Spread,Warm Temp Dry,0.1,
Goats,Low Productivity,Daily Spread,Warm Temp Dry,0.2,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf
Goat Kids(less than 1 year),Low Productivity,Daily Spread,Warm Temp Dry,0.1,
Camels,High Productivity,Dry lot,Boreal Dry,1.7,
Camels,High Productivity,Dry lot,Boreal Moist,1.7,
Camels,High Productivity,Dry lot,Cool Temp Dry,1.7,
Camels,High Productivity,Dry lot,Cool Temp Moist,1.7,
Camels,High Productivity,Dry lot,Tropical Dry,0,
Camels,High Productivity,Dry lot,Tropical Moist,0,
Camels,High Productivity,Dry lot,Tropical Montane,0,
Camels,High Productivity,Dry lot,Tropical Wet,0,
Camels,High Productivity,Dry lot,Warm Temp Dry,2.6,
Camels,High Productivity,Dry lot,Warm Temp Moist,2.6,
Camels,High Productivity,Solid storage,Boreal Dry,3.5,
Camels,High Productivity,Solid storage,Boreal Moist,3.5,
Camels,High Productivity,Solid storage,Cool Temp Dry,3.5,
Camels,High Productivity,Solid storage,Cool Temp Moist,3.5,
Camels,High Productivity,Solid storage,Tropical Dry,8.7,
Camels,High Productivity,Solid storage,Tropical Moist,8.7,
Camels,High Productivity,Solid storage,Tropical Montane,8.7,
Camels,High Productivity,Solid storage,Tropical Wet,8.7,
Camels,High Productivity,Solid storage,Warm Temp Dry,7,
Camels,High Productivity,Solid storage,Warm Temp Moist,7,
Camels,Low Productivity,Dry lot,Boreal Dry,1.4,
Camels,Low Productivity,Dry lot,Boreal Moist,1.4,
Camels,Low Productivity,Dry lot,Cool Temp Dry,1.4,
Camels,Low Productivity,Dry lot,Cool Temp Moist,1.4,
Camels,Low Productivity,Dry lot,Tropical Dry,2.8,
Camels,Low Productivity,Dry lot,Tropical Moist,2.8,
Camels,Low Productivity,Dry lot,Tropical Montane,2.8,
Camels,Low Productivity,Dry lot,Tropical Wet,2.8,
Camels,Low Productivity,Dry lot,Warm Temp Dry,2.1,
Camels,Low Productivity,Dry lot,Warm Temp Moist,2.1,
Camels,Low Productivity,Solid storage,Boreal Dry,2.8,
Camels,Low Productivity,Solid storage,Boreal Moist,2.8,
Camels,Low Productivity,Solid storage,Cool Temp Dry,2.8,
Camels,Low Productivity,Solid storage,Cool Temp Moist,2.8,
Camels,Low Productivity,Solid storage,Tropical Dry,7,
Camels,Low Productivity,Solid storage,Tropical Moist,7,
Camels,Low Productivity,Solid storage,Tropical Montane,7,
Camels,Low Productivity,Solid storage,Tropical Wet,7,
Camels,Low Productivity,Solid storage,Warm Temp Dry,5.6,
Camels,Low Productivity,Solid storage,Warm Temp Moist,5.6,
Dairy Cattle,High Productivity,Anaerobic digestion - biogas,Boreal Dry,3.2,
Dairy Cattle,High Productivity,Anaerobic digestion - biogas,Boreal Moist,3.2,
Dairy Cattle,High Productivity,Anaerobic digestion - biogas,Cool Temp Dry,3.2,
Dairy Cattle,High Productivity,Anaerobic digestion - biogas,Cool Temp Moist,3.2,
Dairy Cattle,High Productivity,Anaerobic digestion - biogas,Tropical Dry,3.7,
Dairy Cattle,High Productivity,Anaerobic digestion - biogas,Tropical Moist,3.7,
