"","X","profile_id","upper_depth","latitude","longitude","dsds","profile_layer_id","lower_depth","layer_name","sand_value_avg","silt_value_avg","clay_value_avg","bdfiod_value_avg","bdfiod_method","orgc_value_avg","totc_value_avg","orgc_sd","cstock_t.ha","landcover"
"1",92,67886,0,37.15,-7.88333333,90,33549,20,"A",12,39,49,NA,NA,1,NA,0.608276253029822,22.6082862626882,"Grassland"
"2",101,67887,0,38,-7.58333333,70,33552,13,"A",43,32,25,NA,NA,0.5,NA,0.282842712474619,8.2541795123049,"Grassland"
"3",105,67888,0,37.13333333,-8.53333333,90,33554,70,"A/B",21,41,38,NA,NA,0.8,NA,NA,61.5481874451511,"Permanent water bodies"
"4",114,67889,0,37.08333333,-8.25,70,33557,25,"A",13,39,48,NA,NA,0.8,NA,0.424264068711929,22.7381335731222,"Permanent water bodies"
"5",123,67890,0,37,-8.93333333,65,33560,15,"A",18,58,24,NA,NA,0.4,NA,0.141421356237309,7.24916578625509,"Permanent water bodies"
"6",132,67918,0,38.08333333,-7.58333333,65,33703,22,"A",58,24,18,NA,NA,0.2,NA,0,5.82423039848157,"Grassland"
"7",141,68001,0,38.01666667,-7.75,85,34132,25,"A",63,23,14,NA,NA,0.45,NA,0.0707106781186547,14.7125894111294,"Tree cover"
"8",150,68242,0,37.83333333,-8.66666667,155,35306,20,"A",31,54,15,NA,NA,0.73,NA,0.854224794770089,17.4092799562156,"Tree cover"
"9",175,68243,0,38.01666667,-7.86666667,155,35311,10,"A",18,47,35,NA,NA,0.45,NA,0.0707106781186547,5.51550413754511,"Built-up"
"10",191,68244,0,38.01666667,-7.86666667,55,35315,8,"A",10,43,47,NA,NA,0.95,NA,0.353553390593274,8.94560134528886,"Built-up"
"13",624,598878,0,38.83330154,-8,90,3089902,20,NA,76,NA,9,NA,NA,0.333333333333333,NA,0.251661147842358,NA,"Grassland"
"16",641,598982,0,37.78329849,-7.83330011,60,3090394,20,NA,62,NA,16,NA,NA,0.333333333333333,NA,0.251661147842358,NA,"Grassland"
"21",699,607070,0,38.46170044,-8.3083868,25,3111260,25,NA,NA,13.5,7.2,NA,NA,4.05,NA,NA,105.38901462209,"Grassland"
"22",700,607071,0,38.75806046,-8.10728455,60,3111261,30,NA,NA,17.9,7.8,NA,NA,0.87,NA,0.89095454429505,33.8259651091556,"Grassland"
"24",705,607073,0,38.41859818,-7.5049572,50,3111264,25,NA,NA,16.6,11.9,NA,NA,2.2,NA,0.282842712474619,64.0776251088794,"Grassland"
"25",709,607074,0,38.78963089,-8.30956268,40,3111266,20,NA,NA,12,8.3,NA,NA,0.485,NA,0.388908729652601,13.4236170932216,"Cropland"
"26",713,607075,0,38.96660995,-7.75237513,70,3111268,25,NA,NA,11.1,5.4,NA,NA,0.433333333333333,NA,0.21594752448994,15.1166325875834,"Grassland"
"27",722,607076,0,38.14242172,-8.6071043,75,3111271,30,NA,NA,13.8,7.4,NA,NA,1.43333333333333,NA,1.15578256317239,53.9161401906755,"Grassland"
"28",731,607077,0,38.16226959,-7.6608429,115,3111274,30,NA,NA,16.5,9.8,NA,NA,1.64666666666667,NA,1.62838365667718,60.0209158528723,"Grassland"
"29",740,607078,0,38.54270935,-7.84919405,125,3111277,30,NA,NA,14,12,NA,NA,0.62,NA,0.782304288624318,24.5974783058379,"Grassland"
"30",765,607079,0,38.06320953,-7.98647785,70,3111282,15,NA,NA,8.6,5.5,NA,NA,0.473333333333333,NA,0.181475434517549,10.1428210378711,"Permanent water bodies"
"31",774,607080,0,38.13906097,-7.48920918,85,3111285,25,NA,NA,10.8,8.8,NA,NA,0.2625,NA,0.323148572641131,9.20630142769443,"Grassland"
"32",790,607081,0,38.12728882,-7.30386686,140,3111289,40,NA,NA,23.5,17.1,NA,NA,2.635,NA,2.32712268692478,113.664720873135,"Cropland"
"33",806,607082,0,37.99626923,-7.72580624,120,3111293,20,NA,NA,13.6,9.2,NA,NA,0.365,NA,0.438976081352959,10.1314532932142,"Tree cover"
