STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       4625;18870801;18870831;    5;  -999;   -999;   21.10;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18870901;18870930;    5;  -999;   -999;   17.10;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18871001;18871031;    5;  -999;   -999;    9.60;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18871101;18871130;    5;  -999;   -999;    6.30;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18871201;18871231;    5;  -999;   -999;    2.50;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880101;18880131;    5;  -999;   -999;    1.50;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880201;18880229;    5;  -999;   -999;   -0.20;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880301;18880331;    5;  -999;   -999;    2.60;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880401;18880430;    5;  -999;   -999;    8.80;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880501;18880531;    5;  -999;   -999;   16.80;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880601;18880630;    5;  -999;   -999;   20.40;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880701;18880731;    5;  -999;   -999;   19.40;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880801;18880831;    5;  -999;   -999;   19.90;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18880901;18880930;    5;  -999;   -999;   17.80;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18881001;18881031;    5;  -999;   -999;   10.40;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18881101;18881130;    5;  -999;   -999;    6.20;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18881201;18881231;    5;  -999;   -999;    3.90;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890101;18890131;    5;  -999;   -999;   -0.10;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890201;18890228;    5;  -999;   -999;    0.60;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890301;18890331;    5;  -999;   -999;    3.90;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890401;18890430;    5;  -999;   -999;   10.60;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890501;18890531;    5;  -999;   -999;   21.80;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890601;18890630;    5;  -999;   -999;   24.90;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890701;18890731;    5;  -999;   -999;   21.20;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890801;18890831;    5;  -999;   -999;   20.30;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18890901;18890930;    5;  -999;   -999;   15.90;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18891001;18891031;    5;  -999;   -999;   11.50;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18891101;18891130;    5;  -999;   -999;    6.20;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18891201;18891231;    5;  -999;   -999;    1.30;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4625;18900101;18900131;    5;  5.97;   2.36;    4.84;    0.16;    3.65;   9.9;-999;  -7.6;-999;    5;    58.9;   11.3;eor
       4625;18900201;18900228;    5;  5.57;  -1.57;    0.70;   -3.86;    2.85;   3.3;-999;  -9.9;-999;    5;     4.1;    3.3;eor
       4625;18900301;18900331;    5;  5.41;   4.76;    8.74;    0.97;    3.55;  20.9;-999; -15.1;-999;    5;    31.0;    6.5;eor
       4625;18900401;18900430;    5;  5.43;   6.66;   10.59;    3.09;    2.82;  16.3;-999;  -1.6;-999;    5;    37.8;   10.3;eor
       4625;18900501;18900531;    5;  3.90;  13.18;   18.54;    8.67;    3.62;  27.8;-999;   3.5;-999;    5;   134.6;   76.0;eor
       4625;18900601;18900630;    5;  5.89;  13.94;   18.69;    9.72;    3.33;  26.6;-999;   3.3;-999;    5;    45.6;    8.1;eor
       4625;18900701;18900731;    5;  5.66;  15.61;   20.01;   11.38;    3.18;  29.9;-999;   6.7;-999;    5;    78.8;   22.6;eor
       4625;18900801;18900831;    5;  5.54;  16.24;   20.99;   12.45;    3.01;  27.1;-999;   6.8;-999;    5;    94.8;   18.6;eor
       4625;18900901;18900930;    5;  4.41;  13.82;   18.37;    9.95;    3.76;  25.6;-999;   4.9;-999;    5;     9.8;    4.1;eor
       4625;18901001;18901031;    5;  6.04;   8.12;   10.97;    5.32;    4.27;  17.9;-999;  -2.9;-999;    5;    48.1;   11.7;eor
       4625;18901101;18901130;    5;  6.57;   3.15;    5.40;    0.85;    3.03;   9.9;-999; -13.4;-999;    5;    30.7;   15.7;eor
       4625;18901201;18901231;    5;  5.35;  -4.32;   -2.22;   -6.63;    2.83;   2.1;-999; -16.0;-999;    5;     2.0;    1.0;eor
       4625;18910101;18910131;    5;  5.96;  -3.68;   -1.14;   -6.85;    3.23;   7.2;-999; -17.9;-999;    5;    41.5;   30.5;eor
       4625;18910201;18910228;    5;  4.75;   0.81;    3.41;   -1.80;    3.37;  10.6;-999;  -9.7;-999;    5;     6.7;    2.4;eor
       4625;18910301;18910331;    5;  5.98;   2.05;    5.25;   -0.42;    3.70;  12.9;-999;  -5.5;-999;    5;    50.9;    8.3;eor
       4625;18910401;18910430;    5;  5.67;   5.08;    8.51;    1.49;    3.39;  16.8;-999;  -1.9;-999;    5;    45.5;   10.3;eor
       4625;18910501;18910531;    5;  4.85;  12.29;   17.65;    7.14;    3.29;  23.8;-999;   0.1;-999;    5;    29.1;    6.5;eor
       4625;18910601;18910630;    5;  4.50;  14.37;   18.90;    9.53;    4.06;  27.8;-999;   4.5;-999;    5;    74.7;   32.1;eor
       4625;18910701;18910731;    5;  5.71;  17.06;   21.34;   12.79;    2.88;  25.8;-999;   9.8;-999;    5;    80.2;   21.2;eor
       4625;18910801;18910831;    5;  5.68;  14.87;   19.26;   11.30;    3.44;  27.8;-999;   8.3;-999;    5;   101.5;   18.6;eor
       4625;18910901;18910930;    5;  4.47;  14.50;   19.13;   10.52;    2.70;  25.7;-999;   5.2;-999;    5;    23.1;    7.0;eor
       4625;18911001;18911031;    5;  4.53;  10.55;   14.63;    7.13;    2.96;  23.0;-999;  -2.2;-999;    5;    20.1;    7.0;eor
       4625;18911101;18911130;    5;  6.70;   3.80;    5.80;    1.36;    2.81;  11.4;-999;  -2.9;-999;    5;    24.8;    5.2;eor
       4625;18911201;18911231;    5;  6.45;   2.35;    4.15;    0.17;    3.66;  11.9;-999;  -6.9;-999;    5;    65.1;    9.6;eor
       4625;18920101;18920131;    5;  5.83;  -2.36;   -0.35;   -4.97;    4.31;   8.8;-999; -17.2;-999;    5;    39.4;    9.2;eor
       4625;18920201;18920229;    5;  5.15;   0.50;    3.12;   -2.07;    3.60;   9.8;-999; -13.0;-999;    5;     8.8;    4.0;eor
       4625;18920301;18920331;    5;  4.75;   1.15;    5.02;   -2.46;    3.54;  15.9;-999;  -8.9;-999;    5;    22.9;   17.8;eor
       4625;18920401;18920430;    5;  4.09;   6.72;   12.19;    1.56;    3.55;  22.1;-999;  -2.2;-999;    5;    15.2;    7.4;eor
       4625;18920501;18920531;    5;  5.22;  12.04;   16.83;    6.59;    3.35;  34.1;-999;  -0.3;-999;    5;    44.1;   10.8;eor
       4625;18920601;18920630;    5;  5.55;  14.50;   19.67;    9.72;    3.55;  29.2;-999;   3.7;-999;    5;    55.7;   10.3;eor
       4625;18920701;18920731;    5;  5.14;  15.47;   20.60;   10.55;    3.17;  30.4;-999;   6.7;-999;    5;    25.9;    5.4;eor
       4625;18920801;18920831;    5;  4.99;  17.53;   23.06;   12.74;    3.55;  35.4;-999;   7.6;-999;    5;    45.3;   14.6;eor
       4625;18920901;18920930;    5;  5.47;  13.68;   17.75;    9.58;    2.72;  24.2;-999;   5.4;-999;    5;    54.5;   18.4;eor
       4625;18921001;18921031;    5;  6.10;   8.06;   11.13;    5.15;    3.68;  19.6;-999;  -2.2;-999;    5;    42.9;    9.5;eor
